Title; Year; Original_line; Line_number; Last_word; Last_word_POS
Настанет день, исчезну я; 1916; Все то же будет: стол, скамья; 3; скамья; NOUN
Настанет день, исчезну я; 1916; Да образ, древний и простой.; 4; простой; ADJF
Последний шмель; 1916; Черный бархатный шмель, золотое оплечье,; 1; оплечье; NOUN
Последний шмель; 1916; Заунывно гудящий певучей струной,; 2; струной; NOUN
Последний шмель; 1916; Ты зачем залетаешь в жилье человечье; 3; человечье; ADJF
Последний шмель; 1916; И как будто тоскуешь со мной? За окном свет и зной, подоконники ярки,; 4; ярки; ADJS
Последний шмель; 1916; Безмятежны и жарки последние дни,; 5; дни; NOUN
Последний шмель; 1916; Полетай, погуди — и в засохшей татарке,; 6; татарке; NOUN
Последний шмель; 1916; На подушечке красной, усни.Не дано тебе знать человеческой думы,; 7; думы; NOUN
Последний шмель; 1916; Что давно опустели поля,; 8; поля; NOUN
Последний шмель; 1916; Что уж скоро в бурьян сдует ветер угрюмый; 9; угрюмый; ADJF
Последний шмель; 1916; Золотого сухого шмеля!; 10; шмеля; NOUN
Не видно птиц…; 1889; Не видно птиц. Покорно чахнет; 1; чахнет; VERB
Не видно птиц…; 1889; Лес, опустевший и больной.; 2; больной; ADJF
Не видно птиц…; 1889; Грибы сошли, но крепко пахнет; 3; пахнет; VERB
Не видно птиц…; 1889; В оврагах сыростью грибной.; 4; грибной; ADJF
Троица; 1893; Гудящий благовест к молитве призывает,; 1; призывает; VERB
Троица; 1893; На солнечных лучах над нивами звенит,; 2; звенит; VERB
Троица; 1893; Даль заливных лугов в лазури утопает,; 3; утопает; VERB
Троица; 1893; И речка на лугах сверкает и горит.; 4; горит; VERB
Родине; 1891; Они глумятся над тобою,; 1; тобою; NPRO
Родине; 1891; Они, о родина, корят; 2; корят; VERB
Родине; 1891; Тебя твоею простотою,; 3; простотою; NOUN
Родине; 1891; Убогим видом черных хат… Так сын, спокойный и нахальный,; 4; нахальный; ADJF
Родине; 1891; Усталой, робкой и печальной; 6; печальной; ADJF
Родине; 1891; Средь городских его друзей, Глядит с улыбкой состраданья; 7; состраданья; NOUN
Родине; 1891; На ту, кто сотни верст брела; 8; брела; VERB
Родине; 1891; И для него, ко дню свиданья,; 9; свиданья; NOUN
Родине; 1891; Последний грошик берегла.; 10; берегла; VERB
Крещенская ночь; Год написания не известен; Темный ельник снегами, как мехом,; 1; мехом; NOUN
Крещенская ночь; Год написания не известен; Опушили седые морозы,; 2; морозы; NOUN
Крещенская ночь; Год написания не известен; В блестках инея, точно в алмазах,; 3; алмазах; NOUN
Крещенская ночь; Год написания не известен; Задремали, склонившись, березы.; 4; березы; NOUN
Собака; 1909; Мечтай, мечтай. Все уже и тусклей; 1; тусклей; COMP
Собака; 1909; Ты смотришь золотистыми глазами; 2; глазами; NOUN
Собака; 1909; На вьюжный двор, на снег, прилипший к раме,; 3; раме; NOUN
Собака; 1909; На метлы гулких, дымных тополей.; 4; тополей; NOUN
Полевые цветы; 1887; В блеске огней, за зеркальными стеклами,; 1; стеклами; NOUN
Полевые цветы; 1887; Пышно цветут дорогие цветы,; 2; цветы; NOUN
Полевые цветы; 1887; Нежны и сладки их тонкие запахи,; 3; запахи; NOUN
Полевые цветы; 1887; Листья и стебли полны красоты.; 4; красоты; NOUN
И цветы, и шмели, и трава, и колосья…; 1918; И цветы, и шмели, и трава, и колосья,; 1; колосья; NOUN
И цветы, и шмели, и трава, и колосья…; 1918; Срок настанет — господь сына блудного спросит:; 3; спросит; VERB
И цветы, и шмели, и трава, и колосья…; 1918; Был ли счастлив ты в жизни земной?; 4; земной; ADJF
Бледнеет ночь…; 1888; Бледнеет ночь… Туманов пелена; 1; пелена; NOUN
Бледнеет ночь…; 1888; В лощинах и лугах становится белее,; 2; белее; COMP
Бледнеет ночь…; 1888; Звучнее лес, безжизненней луна; 3; луна; NOUN
Бледнеет ночь…; 1888; И серебро росы на стеклах холоднее.; 4; холоднее; COMP
Мы встретились случайно, на углу…; 1905; Мы встретились случайно, на углу.; 1; углу; NOUN
Мы встретились случайно, на углу…; 1905; Я быстро шел — и вдруг как свет зарницы; 2; зарницы; NOUN
Мы встретились случайно, на углу…; 1905; Вечернюю прорезал полумглу; 3; полумглу; NOUN
Мы встретились случайно, на углу…; 1905; Сквозь черные лучистые ресницы.; 4; ресницы; NOUN
Зачем и о чем говорить?..; 1889; …Зачем и о чем говорить?; 1; говорить; INFN
Зачем и о чем говорить?..; 1889; Всю душу, с любовью, с мечтами,; 2; мечтами; NOUN
Зачем и о чем говорить?..; 1889; И чем же? — одними словами!; 4; словами; NOUN
Осень; 1905; Осень. Чащи леса.; 1; леса; NOUN
Осень; 1905; Мох сухих болот.; 2; болот; NOUN
Осень; 1905; Озеро белесо.; 3; белесо; ADJS
Осень; 1905; Бледен небосвод.; 4; небосвод; NOUN
Осень; 1905; Отцвели кувшинки,; 5; кувшинки; NOUN
Осень; 1905; И шафран отцвел.; 6; отцвел; VERB
Осень; 1905; Выбиты тропинки,; 7; тропинки; NOUN
Осень; 1905; Лес и пуст, и гол.; 8; гол; NOUN
Осень; 1905; Только ты красива,; 9; красива; ADJS
Осень; 1905; Хоть давно суха,; 10; суха; ADJS
Осень; 1905; В кочках у залива; 11; залива; NOUN
Осень; 1905; Старая ольха.; 12; ольха; NOUN
Осень; 1905; Женственно глядишься; 13; глядишься; VERB
Осень; 1905; И засеребришься; 15; засеребришься; VERB
Осень; 1905; Прежде всех к весне.; 16; весне; NOUN
Гаснет вечер, даль синеет…; 1892; Гаснет вечер, даль синеет,; 1; синеет; VERB
Гаснет вечер, даль синеет…; 1892; Солнышко садится,; 2; садится; VERB
Гаснет вечер, даль синеет…; 1892; Степь да степь кругом — и всюду; 3; всюду; ADVB
Гаснет вечер, даль синеет…; 1892; Нива колосится!; 4; колосится; VERB
Гаснет вечер, даль синеет…; 1892; Пахнет медом, зацветает; 5; зацветает; VERB
Гаснет вечер, даль синеет…; 1892; Звон к вечерне из деревни; 7; деревни; NOUN
Гаснет вечер, даль синеет…; 1892; А вдали кукушка в роще; 9; роще; NOUN
Гаснет вечер, даль синеет…; 1892; Счастлив тот, кто на работе; 11; работе; NOUN
Гаснет вечер, даль синеет…; 1892; В поле заночует!; 12; заночует; VERB
Осыпаются астры в садах…; 1888; Осыпаются астры в садах,; 1; садах; NOUN
Осыпаются астры в садах…; 1888; Стройный клен под окошком желтеет,; 2; желтеет; VERB
Осыпаются астры в садах…; 1888; И холодный туман на полях; 3; полях; NOUN
Осыпаются астры в садах…; 1888; Целый день неподвижно белеет.; 4; белеет; VERB
Осыпаются астры в садах…; 1888; Ближний лес затихает, и в нем; 5; нем; ADJS
Осыпаются астры в садах…; 1888; Показалися всюду просветы,; 6; просветы; NOUN
Осыпаются астры в садах…; 1888; И красив он в уборе своем,; 7; своем; ADJF
Осыпаются астры в садах…; 1888; Золотистой листвою одетый.; 8; одетый; ADJF
Осыпаются астры в садах…; 1888; Но под этой сквозною листвой; 9; листвой; NOUN
Осыпаются астры в садах…; 1888; Осень веет тоской,; 11; тоской; NOUN
Осыпаются астры в садах…; 1888; Осень веет разлукой!; 12; разлукой; NOUN
Чужая; 1906; Ты чужая, но любишь,; 1; любишь; VERB
Чужая; 1906; Любишь только меня.; 2; меня; NPRO
Чужая; 1906; Ты меня не забудешь; 3; забудешь; VERB
Чужая; 1906; До последнего дня.; 4; дня; NOUN
Поэт; 1886; Поэт печальный и суровый,; 1; суровый; ADJF
Поэт; 1886; Бедняк, задавленный нуждой,; 2; нуждой; NOUN
Поэт; 1886; Напрасно нищеты оковы; 3; оковы; NOUN
Поэт; 1886; Порвать стремишься ты душой!; 4; душой; NOUN
И цветы, и шмели, и трава; 1918; И цветы, и шмели, и трава, и колосья,; 1; колосья; NOUN
И цветы, и шмели, и трава; 1918; Срок настанет — господь сына блудного спросит:; 3; спросит; VERB
Розы; 1903; Блистая, облака лепились; 1; лепились; VERB
Розы; 1903; В лазури пламенного дня.; 2; дня; NOUN
Розы; 1903; Две чаши, полные огня.; 4; огня; NOUN
Розы; 1903; В окно, в прохладный сумрак дома,; 5; дома; NOUN
Розы; 1903; Глядел зеленый знойный сад,; 6; сад; NOUN
Розы; 1903; И сена душная истома; 7; истома; NOUN
Розы; 1903; Струила сладкий аромат.; 8; аромат; NOUN
Розы; 1903; Порою, звучный и тяжелый,; 9; тяжелый; ADJF
Розы; 1903; Высоко в небе грохотал; 10; грохотал; VERB
Розы; 1903; Громовый гул… Но пели пчелы,; 11; пчелы; NOUN
Розы; 1903; Звенели мухи — день сиял.; 12; сиял; VERB
Розы; 1903; Порою шумно пробегали; 13; пробегали; VERB
Розы; 1903; Но солнце и лазурь мигали; 15; мигали; VERB
Розы; 1903; И день сиял, и млели розы,; 17; розы; NOUN
Розы; 1903; Головки томные клоня,; 18; клоня; GRND
Розы; 1903; И улыбалися сквозь слезы; 19; слезы; NOUN
Розы; 1903; Очами, полными огня.; 20; огня; NOUN
Метель; Год написания не известен; Ночью в полях, под напевы метели,; 1; метели; NOUN
Метель; Год написания не известен; Мнится мне ночью: меж белых берез; 5; берез; NOUN
Метель; Год написания не известен; Бродит в туманном сиянье Мороз.; 6; Мороз; NOUN
Аленушка; 1916; Аленушка в лесу жила,; 1; жила; VERB
Аленушка; 1916; Аленушка смугла была,; 2; была; VERB
Аленушка; 1916; Глаза у ней горячие,; 3; горячие; ADJF
Аленушка; 1916; Блескучие, стоячие.; 4; стоячие; ADJF
Аленушка; 1916; Мала, мала Аленушка,; 5; Аленушка; NOUN
Аленушка; 1916; А пьет с отцом — до донушка.; 6; донушка; NOUN
Аленушка; 1916; Пошла она в леса гулять,; 7; гулять; INFN
Аленушка; 1916; Дружка искать, в кустах вилять,; 8; вилять; INFN
Аленушка; 1916; Да кто ж в лесу встречается?; 9; встречается; VERB
Аленушка; 1916; Одна сосна качается!; 10; качается; VERB
Аленушка; 1916; Аленушка соскучилась,; 11; соскучилась; VERB
Аленушка; 1916; Безделием измучилась,; 12; измучилась; VERB
Аленушка; 1916; Зажгла она большой костер,; 13; костер; NOUN
Аленушка; 1916; А в сушь огонь куда востер!; 14; востер; ADJS
Аленушка; 1916; Сожгла леса Аленушка; 15; Аленушка; NOUN
Аленушка; 1916; На тыщу верст, до пёнушка,; 16; пёнушка; NOUN
Аленушка; 1916; Доныне не узналося!; 18; узналося; NOUN
Мы рядом шли; 1917; Мы рядом шли, но на меня; 1; меня; NPRO
Мы рядом шли; 1917; Уже взглянуть ты не решалась,; 2; решалась; VERB
Мы рядом шли; 1917; И в ветре мартовского дня; 3; дня; NOUN
Мы рядом шли; 1917; Пустая наша речь терялась.; 4; терялась; VERB
Сумерки; 1900; Всё — словно в полусне. Над серою водою; 1; водою; NOUN
Сумерки; 1900; Сползает с гор туман, холодный и густой,; 2; густой; ADJF
Сумерки; 1900; Под ним гудит прибой, зловеще расстилаясь,; 3; расстилаясь; GRND
Сумерки; 1900; А темных голых скал прибрежная стена,; 4; стена; NOUN
Сумерки; 1900; В дымящийся туман погружена,; 5; погружена; PRTS
Сумерки; 1900; Лениво курится, во мгле небес теряясь.Суров и дик ее могучий вид!; 6; вид; NOUN
Сумерки; 1900; Под шум и гул морской она в дыму стоит,; 7; стоит; VERB
Сумерки; 1900; Как неугасший жертвенник титанов,; 8; титанов; NOUN
Сумерки; 1900; И Ночь, спускаясь с гор, вступает точно в храм,; 9; храм; NOUN
Сумерки; 1900; Где мрачный хор поет в седых клубах туманов; 10; туманов; NOUN
Сумерки; 1900; Торжественный хорал неведомым богам.; 11; богам; NOUN
Я к ней вошел в полночный час…; 1898; Я к ней вошел в полночный час.; 1; час; NOUN
Я к ней вошел в полночный час…; 1898; Она спала, — луна сияла; 2; сияла; VERB
Я к ней вошел в полночный час…; 1898; В ее окно, — и одеяла; 3; одеяла; NOUN
Я к ней вошел в полночный час…; 1898; Светился спущенный атлас.; 4; атлас; NOUN
Ночь; 1901; Ледяная ночь, мистраль,; 1; мистраль; NOUN
Ночь; 1901; (Он еще не стих).; 2; стих; NOUN
Ночь; 1901; Вижу в окна блеск и даль; 3; даль; NOUN
Ночь; 1901; Гор, холмов нагих.; 4; нагих; ADJF
Ночь; 1901; Золотой недвижный свет; 5; свет; NOUN
Ночь; 1901; До постели лег.; 6; лег; VERB
Ночь; 1901; Никого в подлунной нет,; 7; нет; PRED
Ночь; 1901; Только я да Бог.; 8; Бог; NOUN
Ночь; 1901; Знает только Он мою; 9; мою; ADJF
Ночь; 1901; Мертвую печаль,; 10; печаль; NOUN
Ночь; 1901; Холод, блеск, мистраль.; 12; мистраль; NOUN
Седое небо надо мной…; 1889; Седое небо надо мной; 1; мной; NPRO
Седое небо надо мной…; 1889; И лес раскрытый, обнаженный.; 2; обнаженный; ADJF
Седое небо надо мной…; 1889; Внизу, вдоль просеки лесной,; 3; лесной; ADJF
Седое небо надо мной…; 1889; Чернеет грязь в листве лимонной.; 4; лимонной; ADJF
На пруде; 1887; Ясным утром на тихом пруде; 1; пруде; NOUN
На пруде; 1887; Резво ласточки реют кругом,; 2; кругом; ADVB
На пруде; 1887; Опускаются к самой воде,; 3; воде; NOUN
На пруде; 1887; Чуть касаются влаги крылом.; 4; крылом; NOUN
В Москве; 1906; Здесь, в старых переулках за Арбатом,; 1; Арбатом; NOUN
В Москве; 1906; Совсем особый город… Вот и март.; 2; март; NOUN
В Москве; 1906; И холодно и низко в мезонине,; 3; мезонине; NOUN
В Москве; 1906; Немало крыс, но по ночам — чудесно.; 4; чудесно; ADVB
В Москве; 1906; Днем — ростепель, капели, греет солнце,; 5; солнце; NOUN
В Москве; 1906; А ночью подморозит, станет чисто,; 6; чисто; ADVB
В Москве; 1906; Светло — и так похоже на Москву,; 7; Москву; NOUN
В Москве; 1906; Старинную, далекую. Усядусь,; 8; Усядусь; VERB
В Москве; 1906; Огня не зажигая, возле окон,; 9; окон; NOUN
В Москве; 1906; Облитых лунным светом, и смотрю; 10; смотрю; VERB
В Москве; 1906; На сад, на звезды редкие… Как нежно; 11; нежно; ADVB
В Москве; 1906; Весной ночное небо! Как спокойна; 12; спокойна; ADJS
В Москве; 1906; Луна весною! Теплятся, как свечи,; 13; свечи; NOUN
В Москве; 1906; Кресты на древней церковке. Сквозь ветви; 14; ветви; NOUN
В Москве; 1906; В глубоком небе ласково сияют,; 15; сияют; VERB
В Москве; 1906; Как золотые кованые шлемы,; 16; шлемы; NOUN
Родник; 1891; В глуши лесной, в глуши зеленой,; 1; зеленой; ADJF
Родник; 1891; Всегда тенистой и сырой,; 2; сырой; ADJF
Родник; 1891; В крутом овраге под горой; 3; горой; NOUN
Родник; 1891; Бьет из камней родник студеный: Кипит, играет и спешит,; 4; спешит; VERB
Родник; 1891; Крутясь хрустальными клубами,; 5; клубами; NOUN
Родник; 1891; И под ветвистыми дубами; 6; дубами; NOUN
Родник; 1891; Стеклом расплавленным бежит.А небеса и лес нагорный; 7; нагорный; ADJF
Родник; 1891; Глядят, задумавшись в тиши,; 8; тиши; NOUN
Родник; 1891; Как в светлой влаге голыши; 9; голыши; NOUN
Родник; 1891; Дрожат мозаикой узорной.; 10; узорной; ADJF
В стороне далекой от родного края…; 1893; В стороне далекой от родного края; 1; края; NOUN
В стороне далекой от родного края…; 1893; Снится мне приволье тихих деревень,; 2; деревень; NOUN
В стороне далекой от родного края…; 1893; В поле при дороге белая береза,; 3; береза; NOUN
В стороне далекой от родного края…; 1893; Озими да пашни — и апрельский день.; 4; день; NOUN
В стороне далекой от родного края…; 1893; Ласково синеет утреннее небо,; 5; небо; NOUN
В стороне далекой от родного края…; 1893; Легкой белой зыбью облака плывут,; 6; плывут; VERB
В стороне далекой от родного края…; 1893; Важно грач гуляет за сохой на пашне,; 7; пашне; NOUN
В стороне далекой от родного края…; 1893; Пар блестит над пашней… А кругом поют; 8; поют; VERB
В стороне далекой от родного края…; 1893; Жаворонки в ясной вышине воздушной; 9; воздушной; ADJF
В стороне далекой от родного края…; 1893; И на землю с неба звонко трели льют.; 10; льют; VERB
Октябрьский рассвет; 1887; Ночь побледнела, и месяц садится; 1; садится; VERB
Октябрьский рассвет; 1887; За реку красным серпом.; 2; серпом; NOUN
Октябрьский рассвет; 1887; Сонный туман на лугах серебрится,; 3; серебрится; VERB
Октябрьский рассвет; 1887; Черный камыш отсырел и дымится,; 4; дымится; VERB
Октябрьский рассвет; 1887; Ветер шуршит камышом.; 5; камышом; NOUN
Октябрьский рассвет; 1887; Тишь на деревне. В часовне лампада; 6; лампада; NOUN
Октябрьский рассвет; 1887; Меркнет, устало горя.; 7; горя; NOUN
Октябрьский рассвет; 1887; В трепетный сумрак озябшего сада; 8; сада; NOUN
Октябрьский рассвет; 1887; Медленно рдеет заря.; 10; заря; NOUN
Призраки; 1905; Нет, мертвые не умерли для нас!; 1; нас; NPRO
Призраки; 1905; Есть старое шотландское преданье,; 2; преданье; NOUN
Призраки; 1905; Что тени их, незримые для глаз,; 3; глаз; NOUN
Призраки; 1905; В полночный час к нам ходят на свиданье, Что пыльных арф, висящих на стенах,; 4; стенах; NOUN
Призраки; 1905; Таинственно касаются их руки; 5; руки; NOUN
Призраки; 1905; И пробуждают в дремлющих струнах; 6; струнах; NOUN
Призраки; 1905; Печальные и сладостные звуки.Мы сказками предания зовем,; 7; зовем; VERB
Призраки; 1905; Мы глухи днем, мы дня не понимаем,; 8; понимаем; VERB
Призраки; 1905; Но в сумраке мы сказками живем; 9; живем; VERB
Призраки; 1905; И тишине доверчиво внимаем.Мы в призраки не верим, но и нас; 10; нас; NPRO
Призраки; 1905; Я им внимал, я слышал их не раз,; 12; раз; NOUN
Призраки; 1905; Те грустные и сладостные звуки!; 13; звуки; NOUN
Еще и холоден и сыр…; 1901; Еще и холоден и сыр; 1; сыр; NOUN
Еще и холоден и сыр…; 1901; Февральский воздух, но над садом; 2; садом; NOUN
Еще и холоден и сыр…; 1901; Уж смотрит небо ясным взглядом,; 3; взглядом; NOUN
Еще и холоден и сыр…; 1901; И молодеет Божий мир.; 4; мир; NOUN
Высоко полный месяц стоит…; 1887; Высоко полный месяц стоит; 1; стоит; VERB
Высоко полный месяц стоит…; 1887; В небесах над туманной землей,; 2; землей; NOUN
Высоко полный месяц стоит…; 1887; Бледным светом луга серебрит,; 3; серебрит; VERB
Высоко полный месяц стоит…; 1887; Напоенные белою мглой.; 4; мглой; NOUN
Песня; 1909; Зацвела на воле; 1; воле; NOUN
Песня; 1909; В поле бирюза.; 2; бирюза; NOUN
Песня; 1909; Да не смотрят в душу; 3; душу; NOUN
Песня; 1909; Милые глаза.Помню, помню нежный,; 4; нежный; ADJF
Песня; 1909; Безмятежный лен.; 5; лен; NOUN
Песня; 1909; Да далеко где-то; 6; гдето; PRTS
Песня; 1909; Зацветает он.Помню, помню чистый; 7; чистый; ADJF
Песня; 1909; И лучистый взгляд.; 8; взгляд; NOUN
Песня; 1909; Да поднять ресницы; 9; ресницы; NOUN
Песня; 1909; Люди не велят.; 10; велят; VERB
За всё тебя, Господь, благодарю!..; 1901; За всё тебя, Господь, благодарю!; 1; благодарю; VERB
За всё тебя, Господь, благодарю!..; 1901; Ты, после дня тревоги и печали,; 2; печали; NOUN
За всё тебя, Господь, благодарю!..; 1901; Даруешь мне вечернюю зарю,; 3; зарю; NOUN
За всё тебя, Господь, благодарю!..; 1901; Простор полей и кротость синей дали.; 4; дали; VERB
Ангел; 1891; В вечерний час, над степью мирной,; 1; мирной; ADJF
Ангел; 1891; Когда закат над ней сиял,; 2; сиял; VERB
Ангел; 1891; Среди небес, стезей эфирной,; 3; эфирной; ADJF
Ангел; 1891; Вечерний ангел пролетал.; 4; пролетал; VERB
Снова сон, пленительный и сладкий…; 1898; Снова сон, пленительный и сладкий,; 1; сладкий; ADJF
Снова сон, пленительный и сладкий…; 1898; Снится мне и радостью пьянит, -; 2; пьянит; VERB
Снова сон, пленительный и сладкий…; 1898; Милый взор зовет меня украдкой,; 3; украдкой; ADVB
Снова сон, пленительный и сладкий…; 1898; Ласковой улыбкою манит.; 4; манит; VERB
Все лес и лес; 1899; Всё лес и лес. А день темнеет,; 1; темнеет; VERB
Все лес и лес; 1899; Низы синеют, и трава; 2; трава; NOUN
Все лес и лес; 1899; Проснулась серая сова.; 4; сова; NOUN
Христос воскрес; 1896; Христос воскрес! Опять с зарею; 1; зарею; VERB
Христос воскрес; 1896; Редеет долгой ночи тень,; 2; тень; NOUN
Христос воскрес; 1896; Опять зажегся над землею; 3; землею; NOUN
Христос воскрес; 1896; Для новой жизни новый день.; 4; день; NOUN
Печаль ресниц, сияющих и черных…; 1906; Печаль ресниц, сияющих и черных,; 1; черных; ADJF
Печаль ресниц, сияющих и черных…; 1906; Алмазы слез, обильных, непокорных,; 2; непокорных; ADJF
Печаль ресниц, сияющих и черных…; 1906; И вновь огонь небесных глаз,; 3; глаз; NOUN
Печаль ресниц, сияющих и черных…; 1906; Счастливых, радостных, смиренных, -; 4; смиренных; ADJF
Печаль ресниц, сияющих и черных…; 1906; Все помню я… Но нет уж в мире нас,; 5; нас; NPRO
Печаль ресниц, сияющих и черных…; 1906; Когда-то юных и блаженных!; 6; блаженных; NOUN
Печаль ресниц, сияющих и черных…; 1906; Откуда же являешься ты мне?; 7; мне; NPRO
Печаль ресниц, сияющих и черных…; 1906; Зачем же воскресаешь ты во сне,; 8; сне; NOUN
Печаль ресниц, сияющих и черных…; 1906; Несрочной прелестью сияя,; 9; сияя; GRND
Печаль ресниц, сияющих и черных…; 1906; И дивно повторяется восторг,; 10; восторг; NOUN
Печаль ресниц, сияющих и черных…; 1906; Та встреча, краткая, земная,; 11; земная; ADJF
Печаль ресниц, сияющих и черных…; 1906; Что Бог нам дал и тотчас вновь расторг?; 12; расторг; VERB
Джордано Бруно; 1906; Вот мир людей. Живите во Вселенной.; 2; Вселенной; NOUN
Джордано Бруно; 1906; Земля — вертеп обмана, лжи и зла.; 3; зла; NOUN
Джордано Бруно; 1906; Живите красотою неизменной.; 4; неизменной; ADJF
Нет солнца, но светлы пруды…; 1899; Нет солнца, но светлы пруды,; 1; пруды; NOUN
Нет солнца, но светлы пруды…; 1899; Стоят зеркалами литыми,; 2; литыми; ADJF
Нет солнца, но светлы пруды…; 1899; И чаши недвижной воды; 3; воды; NOUN
Нет солнца, но светлы пруды…; 1899; Совсем бы казались пустыми,; 4; пустыми; ADJF
Нет солнца, но светлы пруды…; 1899; Но в них отразились сады.; 5; сады; NOUN
Шире, грудь, распахнись для принятия; Год написания не известен; Шире, грудь, распахнись для принятия; 1; принятия; NOUN
Шире, грудь, распахнись для принятия; Год написания не известен; Чувств весенних — минутных гостей!; 2; гостей; NOUN
Шире, грудь, распахнись для принятия; Год написания не известен; Ты раскрой мне, природа, объятия,; 3; объятия; NOUN
Шире, грудь, распахнись для принятия; Год написания не известен; Чтоб я слился с красою твоей! Ты, высокое небо, далекое,; 4; далекое; ADJF
Шире, грудь, распахнись для принятия; Год написания не известен; Беспредельный простор голубой!; 5; голубой; ADJF
Шире, грудь, распахнись для принятия; Год написания не известен; Ты, зеленое поле широкое!; 6; широкое; ADJF
Шире, грудь, распахнись для принятия; Год написания не известен; Только к вам я стремлюся душой!; 7; душой; NOUN
Осень листья темной краской метит…; 1905; Осень листья темной краской метит:; 1; метит; VERB
Осень листья темной краской метит…; 1905; не уйти им от своей судьбы!; 2; судьбы; NOUN
Осень листья темной краской метит…; 1905; Но светло и нежно небо светит; 3; светит; VERB
Осень листья темной краской метит…; 1905; сквозь нагие черные дубы,; 4; дубы; NOUN
Ветер осенний в лесах подымается…; 1898; Ветер осенний в лесах подымается,; 1; подымается; VERB
Ветер осенний в лесах подымается…; 1898; Шумно по чащам идёт,; 2; идёт; VERB
Ветер осенний в лесах подымается…; 1898; Мертвые листья срывает и весело; 3; весело; ADVB
Ветер осенний в лесах подымается…; 1898; В бешеной пляске несет.; 4; несет; VERB
После половодья; 1900; Прошли дожди, апрель теплеет,; 1; теплеет; VERB
После половодья; 1900; Всю ночь — туман, а поутру; 2; поутру; ADVB
После половодья; 1900; Весенний воздух точно млеет; 3; млеет; VERB
После половодья; 1900; И мягкой дымкою синеет; 4; синеет; VERB
После половодья; 1900; В далеких просеках в бору.; 5; бору; NOUN
Осень. Чащи леса…; 1893; Осень. Чащи леса.; 1; леса; NOUN
Осень. Чащи леса…; 1893; Мох сухих болот.; 2; болот; NOUN
Осень. Чащи леса…; 1893; Озеро белесо.; 3; белесо; ADJS
Осень. Чащи леса…; 1893; Бледен небосвод.; 4; небосвод; NOUN
За рекой луга зазеленели…; 1893; За рекой луга зазеленели,; 1; зазеленели; VERB
За рекой луга зазеленели…; 1893; Веет легкой свежестью воды,; 2; воды; NOUN
За рекой луга зазеленели…; 1893; Веселей по рощам зазвенели; 3; зазвенели; VERB
За рекой луга зазеленели…; 1893; Песни птиц на разные лады.; 4; лады; NOUN
Счастлив я, когда ты голубые…; 1896; Счастлив я, когда ты голубые; 1; голубые; ADJF
Счастлив я, когда ты голубые…; 1896; Очи поднимаешь на меня:; 2; меня; NPRO
Счастлив я, когда ты голубые…; 1896; Светят в них надежды молодые -; 3; молодые; ADJF
Счастлив я, когда ты голубые…; 1896; Небеса безоблачного дня.; 4; дня; NOUN
В горах; 1916; Поэзия темна, в словах невыразима:; 1; невыразима; ADJS
В горах; 1916; Как взволновал меня вот этот дикий скат.; 2; скат; NOUN
